algorithm,KNeighborsClassifier,GaussianNB,SGDClassifier,ExtraTreeClassifier,DecisionTreeClassifier,MLPClassifier,RidgeClassifierCV,RidgeClassifier,GaussianProcessClassifier,AdaBoostClassifier,GradientBoostingClassifier,BaggingClassifier,ExtraTreesClassifier,RandomForestClassifier,CalibratedClassifierCV,LinearDiscriminantAnalysis,LinearSVC,LogisticRegression,LogisticRegressionCV,NearestCentroid,Perceptron,QuadraticDiscriminantAnalysis,MultinomialNB
AUC(10%),86,93,83,90,93,85,93,93,58,100,93,93,97,97,86,93,70,97,97,93,77,93,74
AUC(20%),87,92,85,87,92,87,95,95,57,96,94,95,96,91,87,95,89,95,96,86,88,93,83
AUC(30%),88,91,88,91,85,87,94,93,58,94,93,90,93,92,89,95,90,94,93,85,88,93,85
AUC(40%),91,91,77,89,91,91,94,94,50,96,95,93,95,94,90,95,89,95,96,86,69,93,87
AUC(50%),90,91,87,91,93,88,94,93,47,93,94,94,93,94,89,94,89,93,93,86,81,92,85
F-Measure(10%),89,95,88,94,95,87,95,95,71,100,95,95,99,97,89,95,77,97,97,93,85,95,81
F-Measure(20%),90,95,87,91,94,91,95,95,69,98,96,96,97,94,89,95,90,95,97,88,91,95,86
F-Measure(30%),90,93,91,93,89,89,94,94,70,95,95,92,94,94,90,95,91,95,95,87,90,95,88
F-Measure(40%),92,93,81,91,93,93,95,95,65,97,96,94,96,95,91,95,90,95,97,88,76,95,89
F-Measure(50%),91,93,89,93,95,90,94,94,65,95,96,95,94,95,90,94,90,94,95,88,86,94,88
No Skill,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
TimeToBuild(10%),0,0,0,0,0.01,0.46,0.03,0.02,0.15,0.16,0.14,0.05,0.01,0.02,0.07,0,0.03,0.01,0.91,0,0,0,0
TimeToBuild(20%),0,0,0,0,0.01,0.33,0.04,0,0.1,0.15,0.13,0.04,0.01,0.02,0.06,0,0.03,0.01,0.56,0,0,0,0
TimeToBuild(30%),0,0,0,0,0.01,0.21,0.04,0,0.08,0.14,0.12,0.04,0.01,0.02,0.06,0,0.03,0.01,0.51,0,0,0,0
TimeToBuild(40%),0,0,0,0,0.01,0.34,0.03,0,0.06,0.15,0.1,0.03,0.01,0.02,0.07,0,0.02,0.01,0.5,0,0,0,0
TimeToBuild(50%),0,0,0,0,0,0.06,0,0,0.04,0.12,0.09,0.03,0.01,0.01,0.05,0,0.02,0.01,0.5,0,0,0,0
