algorithm,algorithm_score,mean_absolute_error,mean_squared_error,r2_score,homogeneity_score,adjusted_rand_score,v_measure_score,TimeToBuild,No Skill,F-Measure,AUC,CrossValidation
KNeighborsClassifier,93,7,7,70.4,62,73.7,62.6,0,0.5,0.92,0.91,
GaussianNB,93.4,6.6,6.6,72.2,63.8,75.2,63.9,0,0.5,0.93,0.91,
SGDClassifier,85.5,14.5,14.5,38.9,44.6,49.6,48.7,0,0.5,0.81,0.77,
ExtraTreeClassifier,91.2,8.8,8.8,63,57.1,67.8,56.6,0,0.5,0.91,0.89,
DecisionTreeClassifier,92.5,7.5,7.5,68.5,63.1,72.3,62.4,0.01,0.5,0.93,0.91,
MLPClassifier,93.4,6.6,6.6,72.2,63.8,75.2,63.9,0.34,0.5,0.93,0.91,
RidgeClassifierCV,95.6,4.4,4.4,81.5,74.2,83.1,75.2,0.03,0.5,0.95,0.94,
RidgeClassifier,95.6,4.4,4.4,81.5,73.4,83.1,74.2,0,0.5,0.95,0.94,
GaussianProcessClassifier,72.4,27.6,27.6,-16.6,12.7,17.9,15.2,0.06,0.5,0.65,0.5,
AdaBoostClassifier,96.5,3.5,3.5,85.2,77.8,86.4,77.6,0.15,0.5,0.97,0.96,
GradientBoostingClassifier,96.1,3.9,3.9,83.3,75.4,84.7,75.3,0.1,0.5,0.96,0.95,
BaggingClassifier,94.3,5.7,5.7,75.9,68.1,78.4,67.8,0.03,0.5,0.94,0.93,
ExtraTreesClassifier,96.1,3.9,3.9,83.3,75.4,84.7,75.3,0.01,0.5,0.96,0.95,
RandomForestClassifier,95.2,4.8,4.8,79.6,71.4,81.5,71.3,0.02,0.5,0.95,0.94,
CalibratedClassifierCV,93,7,7,70.4,66.1,73.6,68.3,0.07,0.5,0.91,0.9,
LinearDiscriminantAnalysis,96.1,3.9,3.9,83.3,76,84.7,77,0,0.5,0.95,0.95,
LinearSVC,92.1,7.9,7.9,66.7,63.1,70.6,65.6,0.02,0.5,0.9,0.89,
LogisticRegression,96.1,3.9,3.9,83.3,75.4,84.7,76,0.01,0.5,0.95,0.95,
LogisticRegressionCV,96.9,3.1,3.1,87,79.5,88,79.6,0.5,0.5,0.97,0.96,
NearestCentroid,90.4,9.6,9.6,59.3,54.6,64.7,56.7,0,0.5,0.88,0.86,
Perceptron,81.6,18.4,18.4,22.3,35.3,38.6,40.3,0,0.5,0.76,0.69,
QuadraticDiscriminantAnalysis,94.7,5.3,5.3,77.8,69.7,79.9,69.5,0,0.5,0.95,0.93,
MultinomialNB,90.4,9.6,9.6,59.3,52.9,64.8,54.1,0,0.5,0.89,0.87,
