algorithms,KNeighborsClassifier,GaussianNB,SGDClassifier,ExtraTreeClassifier,DecisionTreeClassifier,MLPClassifier,RidgeClassifierCV,RidgeClassifier,AdaBoostClassifier,GradientBoostingClassifier,BaggingClassifier,ExtraTreesClassifier,RandomForestClassifier,CalibratedClassifierCV,LinearDiscriminantAnalysis,LinearSVC,LogisticRegression,LogisticRegressionCV,NearestCentroid,Perceptron,QuadraticDiscriminantAnalysis,MultinomialNB
adjusted_rand_score(10%),71.7,85.6,65.6,78.9,85.6,71.2,85.6,85.6,100,85.6,85.6,92.7,92.6,71.7,85.6,50.9,92.6,92.6,85.3,54.4,85.6,52.9
adjusted_rand_score(20%),67.4,79.7,67,64.7,79.7,64.7,86.2,86.2,89.6,83,86.2,89.6,76.6,70.1,86.2,73.2,86.2,89.6,67.2,70.4,79.8,61.4
adjusted_rand_score(30%),69.4,75.6,69.5,75.6,60.1,67.4,84,81.9,84.1,81.9,75.5,81.9,79.8,73.3,86.2,75.4,84.1,81.9,65.2,69.4,79.8,63.5
adjusted_rand_score(40%),73.7,75.2,49.6,67.8,72.3,75.2,83.1,83.1,86.4,84.7,78.4,84.7,81.5,73.6,84.7,70.6,84.7,88,64.7,38.6,79.9,64.8
adjusted_rand_score(50%),72.4,76.1,68.7,74.9,79.9,67.7,83.7,81.1,79.9,83.7,82.4,81.1,82.4,73.5,83.7,73.5,79.9,81.2,65.2,44.7,76.2,63
homogeneity_score(10%),55.9,74.4,49.4,67.3,74.4,58.6,74.4,74.4,100,74.4,74.4,88.6,85.5,55.9,74.4,38.8,85.5,85.5,75.2,39.9,74.4,35.8
homogeneity_score(20%),53.9,69.6,58,54.6,67.9,54.6,76.4,76.4,85.2,74.8,76.6,81.9,66.6,58.1,76.4,64.1,76.4,81.1,54,57.4,71.7,47.7
homogeneity_score(30%),56.1,63.3,57.4,64.6,48.5,53.9,74,70.8,73.6,71.1,63,70.8,68.8,62,76.8,66.4,73.6,71.1,53.9,56.1,69.6,49.7
homogeneity_score(40%),62,63.8,44.6,57.1,63.1,63.8,74.2,73.4,77.8,75.4,68.1,75.4,71.4,66.1,76,63.1,75.4,79.5,54.6,35.3,69.7,52.9
homogeneity_score(50%),60.1,64.2,58.9,63.7,69.5,55.2,74.6,71,69.5,74.1,72,70.3,71.8,65.3,74.6,65.3,68.7,70.8,54.6,44.6,65.8,50.3
mean_absolute_error(10%),7,3.5,8.8,5.3,3.5,7,3.5,3.5,0,3.5,3.5,1.8,1.8,7,3.5,12.3,1.8,1.8,3.5,12.3,3.5,12.3
mean_absolute_error(20%),8.8,5.3,8.8,9.6,5.3,9.6,3.5,3.5,2.6,4.4,3.5,2.6,6.1,7.9,3.5,7,3.5,2.6,8.8,7.9,5.3,10.5
mean_absolute_error(30%),8.2,6.4,8.2,6.4,11.1,8.8,4.1,4.7,4.1,4.7,6.4,4.7,5.3,7,3.5,6.4,4.1,4.7,9.4,8.2,5.3,9.9
mean_absolute_error(40%),7,6.6,14.5,8.8,7.5,6.6,4.4,4.4,3.5,3.9,5.7,3.9,4.8,7,3.9,7.9,3.9,3.1,9.6,18.4,5.3,9.6
mean_absolute_error(50%),7.4,6.3,8.4,6.7,5.3,8.8,4.2,4.9,5.3,4.2,4.6,4.9,4.6,7,4.2,7,5.3,4.9,9.5,16.5,6.3,10.2
mean_squared_error(10%),7,3.5,8.8,5.3,3.5,7,3.5,3.5,0,3.5,3.5,1.8,1.8,7,3.5,12.3,1.8,1.8,3.5,12.3,3.5,12.3
mean_squared_error(20%),8.8,5.3,8.8,9.6,5.3,9.6,3.5,3.5,2.6,4.4,3.5,2.6,6.1,7.9,3.5,7,3.5,2.6,8.8,7.9,5.3,10.5
mean_squared_error(30%),8.2,6.4,8.2,6.4,11.1,8.8,4.1,4.7,4.1,4.7,6.4,4.7,5.3,7,3.5,6.4,4.1,4.7,9.4,8.2,5.3,9.9
mean_squared_error(40%),7,6.6,14.5,8.8,7.5,6.6,4.4,4.4,3.5,3.9,5.7,3.9,4.8,7,3.9,7.9,3.9,3.1,9.6,18.4,5.3,9.6
mean_squared_error(50%),7.4,6.3,8.4,6.7,5.3,8.8,4.2,4.9,5.3,4.2,4.6,4.9,4.6,7,4.2,7,5.3,4.9,9.5,16.5,6.3,10.2
r2_score(10%),63.8,81.9,54.8,72.9,81.9,63.8,81.9,81.9,100,81.9,81.9,91,91,63.8,81.9,36.7,91,91,81.9,36.7,81.9,36.7
r2_score(20%),61,76.6,61,57.1,76.6,57.1,84.4,84.4,88.3,80.5,84.4,88.3,72.7,64.9,84.4,68.8,84.4,88.3,61,64.9,76.6,53.2
r2_score(30%),63.8,71.5,63.8,71.5,50.8,61.2,81.9,79.3,81.9,79.3,71.5,79.3,76.7,68.9,84.5,71.5,81.9,79.3,58.6,63.8,76.7,56
r2_score(40%),70.4,72.2,38.9,63,68.5,72.2,81.5,81.5,85.2,83.3,75.9,83.3,79.6,70.4,83.3,66.7,83.3,87,59.3,22.3,77.8,59.3
r2_score(50%),68.3,72.9,63.8,71.3,77.4,62.3,81.9,78.9,77.4,81.9,80.4,78.9,80.4,69.8,81.9,69.8,77.4,78.9,59.3,29.1,72.9,56.3
v_measure_score(10%),57.9,74.4,50.2,66.3,74.4,63.3,74.4,74.4,100,74.4,74.4,87.3,87,57.9,74.4,45.6,87,87,77.9,39.4,74.4,37.8
v_measure_score(20%),54.4,69,61.6,53.6,68.6,53.6,77.1,77.1,84.2,73.9,76.6,81.6,65.8,60.4,77.1,67.1,77.1,81.4,55.8,57.6,70.6,49.3
v_measure_score(30%),56.8,63.4,57,64.1,47.9,54.8,75.2,71.7,73.8,71.1,63.6,71.7,68.6,64.3,77.7,69.1,73.8,71.1,56.9,56.8,69.1,50.9
v_measure_score(40%),62.6,63.9,48.7,56.6,62.4,63.9,75.2,74.2,77.6,75.3,67.8,75.3,71.3,68.3,77,65.6,76,79.6,56.7,40.3,69.5,54.1
v_measure_score(50%),61,64.6,61.5,63.4,69.2,55.3,75.9,72.1,69.2,73.9,72.1,71,72.2,67.8,75.9,67.8,69.2,70.7,57.1,43.5,65.3,51.6
