algorithm,Accuracy_With_Training_10%,Accuracy_With_Training_20%,Accuracy_With_Training_30%,Accuracy_With_Training_40%,Accuracy_With_Training_50%
KNeighborsClassifier,93,91.2,91.8,93,92.6
GaussianNB,96.5,94.7,93.6,93.4,93.7
SGDClassifier,91.2,91.2,91.8,85.5,91.6
ExtraTreeClassifier,94.7,90.4,93.6,91.2,93.3
DecisionTreeClassifier,96.5,94.7,88.9,92.5,94.7
MLPClassifier,93,90.4,91.2,93.4,91.2
RidgeClassifierCV,96.5,96.5,95.9,95.6,95.8
RidgeClassifier,96.5,96.5,95.3,95.6,95.1
AdaBoostClassifier,100,97.4,95.9,96.5,94.7
GradientBoostingClassifier,96.5,95.6,95.3,96.1,95.8
BaggingClassifier,96.5,96.5,93.6,94.3,95.4
ExtraTreesClassifier,98.2,97.4,95.3,96.1,95.1
RandomForestClassifier,98.2,93.9,94.7,95.2,95.4
CalibratedClassifierCV,93,92.1,93,93,93
LinearDiscriminantAnalysis,96.5,96.5,96.5,96.1,95.8
LinearSVC,87.7,93,93.6,92.1,93
LogisticRegression,98.2,96.5,95.9,96.1,94.7
LogisticRegressionCV,98.2,97.4,95.3,96.9,95.1
NearestCentroid,96.5,91.2,90.6,90.4,90.5
Perceptron,87.7,92.1,91.8,81.6,83.5
QuadraticDiscriminantAnalysis,96.5,94.7,94.7,94.7,93.7
MultinomialNB,87.7,89.5,90.1,90.4,89.8
